Tick 1117246(1116784), Delay 112 ms, IGT 15:30:36.518, RTA 97:47:47.862-97:47:47.974
Tick 1117247(1116785), Delay 0 ms, IGT 15:30:36.568, RTA 97:47:47.974-97:47:47.974
Tick 1117248(1116786), Delay 38 ms, IGT 15:30:36.618, RTA 97:47:47.974-97:47:48.012
Tick 1117370(1116908), Delay 103 ms, IGT 15:30:42.718, RTA 97:47:54.064-97:47:54.167
Tick 1117371(1116909), Delay 0 ms, IGT 15:30:42.768, RTA 97:47:54.167-97:47:54.167
Tick 1117553(1117091), Delay 55 ms, IGT 15:30:51.868, RTA 97:48:03.213-97:48:03.268
Tick 1117554(1117092), Delay 45 ms, IGT 15:30:51.918, RTA 97:48:03.268-97:48:03.313
Tick 1117579(1117117), Delay 59 ms, IGT 15:30:53.168, RTA 97:48:04.513-97:48:04.572
Tick 1117580(1117118), Delay 42 ms, IGT 15:30:53.218, RTA 97:48:04.572-97:48:04.614
Tick 1117639(1117176), Delay 394 ms, IGT 15:30:56.118, RTA 97:48:07.514-97:48:07.908
Tick 1117640(1117176), Delay 1993 ms, IGT 15:30:56.118, RTA 97:48:07.908-97:48:09.901
Tick 1117641(1117177), Delay 45 ms, IGT 15:30:56.120, RTA 97:48:09.901-97:48:09.946
Tick 1117642(1117178), Delay 34 ms, IGT 15:30:56.170, RTA 97:48:09.946-97:48:09.980
Tick 1117656(1117192), Delay 1594 ms, IGT 15:30:56.870, RTA 97:48:10.629-97:48:12.223
Tick 1118003(1117539), Delay 33685 ms, IGT 15:31:14.220, RTA 97:48:29.523-97:49:03.208
Tick 1118039(1117575), Delay 45 ms, IGT 15:31:16.020, RTA 97:49:04.961-97:49:05.006
Tick 1118076(1117612), Delay 57 ms, IGT 15:31:17.870, RTA 97:49:06.808-97:49:06.865
Tick 1118077(1117613), Delay 42 ms, IGT 15:31:17.920, RTA 97:49:06.865-97:49:06.907
Tick 1118181(1117717), Delay 45 ms, IGT 15:31:23.120, RTA 97:49:12.060-97:49:12.105
Tick 1118323(1117859), Delay 45 ms, IGT 15:31:30.220, RTA 97:49:19.160-97:49:19.205
Tick 1118352(1117888), Delay 45 ms, IGT 15:31:31.670, RTA 97:49:20.610-97:49:20.655
Tick 1118409(1117945), Delay 45 ms, IGT 15:31:34.520, RTA 97:49:23.460-97:49:23.505
Tick 1118444(1117980), Delay 56 ms, IGT 15:31:36.270, RTA 97:49:25.209-97:49:25.265
Tick 1118445(1117981), Delay 43 ms, IGT 15:31:36.320, RTA 97:49:25.265-97:49:25.308
Tick 1118447(1117983), Delay 83952 ms, IGT 15:31:36.420, RTA 97:49:25.358-97:50:49.310
Tick 1118538(1118074), Delay 1175894 ms, IGT 15:31:40.970, RTA 97:50:53.811-98:10:29.705
Tick 1118555(1118090), Delay 361 ms, IGT 15:31:41.770, RTA 98:10:30.503-98:10:30.864
Tick 1118556(1118090), Delay 2512 ms, IGT 15:31:41.770, RTA 98:10:30.864-98:10:33.376
Tick 1118557(1118090), Delay 45 ms, IGT 15:31:41.770, RTA 98:10:33.376-98:10:33.421, due world load
Tick 1118558(1118091), Delay 30 ms, IGT 15:31:41.807, RTA 98:10:33.421-98:10:33.451
Tick 1118644(1118177), Delay 63 ms, IGT 15:31:46.107, RTA 98:10:37.698-98:10:37.761
Tick 1118645(1118178), Delay 38 ms, IGT 15:31:46.157, RTA 98:10:37.761-98:10:37.799
Tick 1119027(1118560), Delay 62 ms, IGT 15:32:05.257, RTA 98:10:56.848-98:10:56.910
Tick 1119028(1118561), Delay 40 ms, IGT 15:32:05.307, RTA 98:10:56.910-98:10:56.950
Tick 1119350(1118883), Delay 61 ms, IGT 15:32:21.407, RTA 98:11:12.998-98:11:13.059
Tick 1119351(1118884), Delay 42 ms, IGT 15:32:21.457, RTA 98:11:13.059-98:11:13.101
Tick 1119463(1118996), Delay 3536 ms, IGT 15:32:27.057, RTA 98:11:18.648-98:11:22.184
Tick 1119630(1119163), Delay 45 ms, IGT 15:32:35.407, RTA 98:11:30.487-98:11:30.532
Tick 1119700(1119233), Delay 57 ms, IGT 15:32:38.907, RTA 98:11:33.983-98:11:34.040
